HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
136516,Tortricidae,Planotortrix,excessana,,Walker,Actinidiaceae,Actinidia,deliciosa,,New Zealand,,
91463,Oecophoridae,Stathmopoda,skelloni,,Butler,Actinidiaceae,Actinidia,deliciosa,,New Zealand,,
14821,Geometridae,Chalastra,pellurgata,,Walker,Adiantaceae,Adiantum,,,New Zealand,,
106466,Pyralidae,Musotima,aduncalis,,Felder & Rogenh.,Adiantaceae,Adiantum,,,New Zealand,,
27444,Gracillariidae,Parectopa,leucocyma,,Meyrick,Araucariaceae,Agathis,australis,,New Zealand,,
79213,Nymphalidae,Argyrophenga,antipodum,,Doubleday,Gramineae,Agropyron,,,New Zealand,,
25401,Gracillariidae,Acrocercops,cyanospila,,Meyrick,Sapindaceae,Alectryon,excelsus,,New Zealand,in fruits,
123807,Tineidae,Opogona,glycyphaga,,Meyrick,Bromeliaceae,Ananas,comosus,,New Zealand,,
5142,Carposinidae,Heterocrossa,eriphylla,,Meyrick,Elaeocarpaceae,Aristotelia,serrata,,New Zealand,in bark,
137086,Tortricidae,Pyrgotis,plagiatana,,Walker,Elaeocarpaceae,Aristotelia,serrata,,New Zealand,on,
106467,Pyralidae,Musotima,aduncalis,,Felder & Rogenh.,Aspleniaceae,Asplenium,,,New Zealand,,
139337,Yponomeutidae,Charixena,iridoxa,,Meyrick,Asteliaceae,Astelia,nervosa,,New Zealand,in bulbs,
109967,Pyralidae,Udea,marmarina,,Meyrick,Urticaceae,Australina,,,New Zealand,on,
20034,Geometridae,Ischalis,gallaria,,Walker,Blechnaceae,Blechnum,,,New Zealand,,
20036,Geometridae,Ischalis,nelsonaria,,Felder & Rogenh.,Blechnaceae,Blechnum,,,New Zealand,,
130526,Tortricidae,Ctenopseustis,obliquana,,Walker,Blechnaceae,Blechnum,capense,,New Zealand,,
90624,Oecophoridae,Gymnobathra,flavidella,,Walker,Compositae,Brachyglottis,repanda,,New Zealand,in dead shoots,
2855,Arctiidae,Nyctemera,annulata,,Boisduval,Compositae,Brachyglottis,repanda,,New Zealand,,
50361,Nepticulidae,Stigmella,cypracma,,Meyrick,Compositae,Brachyglottis,repanda,,New Zealand,in leaves,
69742,Noctuidae,Rictonis,comma,,Walker,Cruciferae,Brassica,rapa,sarson,New Zealand,,
139713,Yponomeutidae,Protosynaema,quaestuosa,,Meyrick,Cyperaceae,Carex,solandri,,New Zealand,on,
117785,Scythrididae,Scythris,epistrota,,Meyrick,Leguminosae (P),Carmichaelia,,,New Zealand,on,
139496,Yponomeutidae,Orthenches,chlorocoma,,Meyrick,Leguminosae (P),Carmichaelia,australis,,New Zealand,on,
29551,Hepialidae,Aenetus,virescens,,Doubleday,Escalloniaceae,Carpodetus,serratus,,New Zealand,,
61584,Noctuidae,Graphania,homoscia,,Meyrick,Compositae,Cassinia,,,New Zealand,,
133826,Tortricidae,Harmologa,columella,,Meyrick,Compositae,Cassinia,vauvilliersii,,New Zealand,on,
28584,Gracillariidae,Phyllonorycter,messaniella,,Zeller,Fagaceae,Castanea,sativa,,New Zealand,on leaves,
9719,Gelechiidae,Apatetris,melanombra,,Meyrick,Compositae,Celmisia,,,New Zealand,in leaves,
15825,Geometridae,Declana,junctilinea,,Walker,Cupressaceae,Chamaecyparis,lawsoniana,,New Zealand,on leaves,
23210,Geometridae,Pseudocoremia,leucelaea,,Meyrick,Cupressaceae,Chamaecyparis,lawsoniana,,New Zealand,on leaves,
22170,Geometridae,Paradetis,porphyrias,,Meyrick,Adiantaceae,Cheilanthes,meifolia,,New Zealand,,
79219,Nymphalidae,Argyrophenga,harrisi,,Craw,Gramineae,Chionochloa,,,New Zealand,,
79221,Nymphalidae,Argyrophenga,janitae,,Craw,Gramineae,Chionochloa,,,New Zealand,,
11673,Gelechiidae,Megacraspedus,calamogonus,,Meyrick,Gramineae,Chionochloa,,,New Zealand,,
82317,Nymphalidae,Dodonidia,helmsii,,Butler,Gramineae,Chionochloa,cheesemanii,,New Zealand,,
82318,Nymphalidae,Dodonidia,helmsii,,Butler,Gramineae,Chionochloa,conspicua,,New Zealand,,
79220,Nymphalidae,Argyrophenga,harrisi,,Craw,Gramineae,Chionochloa,flavescens,,New Zealand,,
79214,Nymphalidae,Argyrophenga,antipodum,,Doubleday,Gramineae,Chionochloa,rubra,,New Zealand,,
130527,Tortricidae,Ctenopseustis,obliquana,,Walker,Rutaceae,Citrus,,,New Zealand,,
130540,Tortricidae,Ctenopseustis,obliquana,,Walker,Rutaceae,Citrus,,,New Zealand,on leaves/shoots,
136517,Tortricidae,Planotortrix,excessana,,Walker,Rutaceae,Citrus,,,New Zealand,,
29552,Hepialidae,Aenetus,virescens,,Doubleday,Rutaceae,Citrus,limon,,New Zealand,,
27479,Gracillariidae,Parectopa,zorionella,,Hudson,Rubiaceae,Coprosma,,,New Zealand,in leaves,
16712,Geometridae,Epiphryne,verriculata,,Felder & Rogenho,Agavaceae,Cordyline,australis,,New Zealand,,
16713,Geometridae,Epiphryne,verriculata,,Felder & Rogenho,Agavaceae,Cordyline,indivisa,,New Zealand,,
26049,Gracillariidae,Caloptilia,elaeas,,Meyrick,Coriariaceae,Coriaria,,,New Zealand,on,
139407,Yponomeutidae,Kessleria,copidota,,Meyrick,Coriariaceae,Coriaria,,,New Zealand,,
15826,Geometridae,Declana,junctilinea,,Walker,Cupressaceae,Cupressus,,,New Zealand,on leaves,
23220,Geometridae,Pseudocoremia,suavis,,Butler,Cupressaceae,Cupressus,,,New Zealand,on leaves,
23205,Geometridae,Pseudocoremia,fenerata,,Felder & Rogenh.,Cupressaceae,Cupressus,macrocarpa,,New Zealand,on leaves,
14822,Geometridae,Chalastra,pellurgata,,Walker,Cyatheaceae,Cyathea,,,New Zealand,,
129835,Tortricidae,Cnephasia,microbathra,,Meyrick,Cyatheaceae,Cyathea,,,New Zealand,,
130558,Tortricidae,Curvisacculus,triorthota,,Meyrick,Cyatheaceae,Cyathea,,,New Zealand,,
131608,Tortricidae,Ecclitica,torogramma,,Meyrick,Cyatheaceae,Cyathea,,,New Zealand,,
20037,Geometridae,Ischalis,variabilis,,Warren,Cyatheaceae,Cyathea,,,New Zealand,,
135027,Tortricidae,Ochetarcha,miraculosa,,Meyrick,Cyatheaceae,Cyathea,,,New Zealand,on rachides,
136541,Tortricidae,Planotortrix,orthocopa,,Meyrick,Cyatheaceae,Cyathea,,,New Zealand,,
14820,Geometridae,Chalastra,aristarcha,,Meyrick,Cyatheaceae,Cyathea,dealbata,,New Zealand,,
139497,Yponomeutidae,Orthenches,drosochalca,,Meyrick,Cyatheaceae,Cyathea,dealbata,,New Zealand,on,
136518,Tortricidae,Planotortrix,excessana,,Walker,Leguminosae (P),Cytisus,scoparius,,New Zealand,,
139498,Yponomeutidae,Orthenches,drosochalca,,Meyrick,Podocarpaceae,Dacrycarpus,dacrydioides,,New Zealand,on,
128693,Tortricidae,Capua,plinthoglypta,,Meyrick,Podocarpaceae,Dacrydium,cupressinum,,New Zealand,on,
6372,Copromorphidae,Isonomeutis,amauropa,,Meyrick,Podocarpaceae,Dacrydium,cupressinum,,New Zealand,under bark,
25247,Glyphipterigidae,Phryganostola,achlyoessa,,Meyrick,Gramineae,Dactylis,glomerata,,New Zealand,,
20038,Geometridae,Ischalis,variabilis,,Warren,Dicksoniaceae,Dicksonia,,,New Zealand,,
23482,Geometridae,Sarisa,muriferata,,Walker,Dicksoniaceae,Dicksonia,,,New Zealand,,
130528,Tortricidae,Ctenopseustis,obliquana,,Walker,Ebenaceae,Diospyros,kaki,,New Zealand,,
136519,Tortricidae,Planotortrix,excessana,,Walker,Ebenaceae,Diospyros,kaki,,New Zealand,,
125291,Tortricidae,Acroclita,discariana,,Philpott,Rhamnaceae,Discaria,toumaton,,New Zealand,on,
133828,Tortricidae,Harmologa,oblongana,,Walker,Rhamnaceae,Discaria,toumaton,,New Zealand,on,
20035,Geometridae,Ischalis,gallaria,,Walker,Dryopteridaceae,Dryopteris,,,New Zealand,,
50383,Nepticulidae,Stigmella,erechtitus,,Watt,Compositae,Erechtites,glomerata,,New Zealand,in leaves,
130541,Tortricidae,Ctenopseustis,obliquana,,Walker,Myrtaceae,Eucalyptus,,,New Zealand,on leaves/shoots,
15815,Geometridae,Declana,floccosa,,Walker,Myrtaceae,Eucalyptus,,,New Zealand,on leaves,
15831,Geometridae,Declana,leptomera,,Walker,Myrtaceae,Eucalyptus,,,New Zealand,on leaves,
136532,Tortricidae,Planotortrix,excessana,,Walker,Myrtaceae,Eucalyptus,,,New Zealand,on leaves,
